ID,round,choice,reward
0,0,0,17.0
0,1,0,17.0
0,2,0,17.0
0,3,0,17.0
0,4,0,17.0
0,5,0,17.0
0,6,0,17.0
0,7,0,17.0
0,8,0,17.0
0,9,0,17.0
0,10,0,17.0
0,11,0,17.0
0,12,0,17.0
0,13,0,17.0
0,14,0,17.0
0,15,0,17.0
0,16,0,17.0
0,17,0,17.0
0,18,0,17.0
0,19,0,17.0
0,20,0,17.0
0,21,0,17.0
0,22,0,17.0
0,23,0,17.0
0,24,0,17.0
0,25,0,17.0
0,26,0,17.0
0,27,0,17.0
0,28,0,17.0
0,29,0,17.0
0,30,0,17.0
0,31,0,17.0
0,32,0,17.0
0,33,0,17.0
0,34,0,17.0
0,35,0,17.0
0,36,0,17.0
0,37,0,17.0
0,38,0,17.0
0,39,0,17.0
0,40,0,17.0
0,41,0,17.0
0,42,0,17.0
0,43,0,17.0
0,44,0,17.0
0,45,0,17.0
0,46,0,17.0
0,47,0,17.0
0,48,0,17.0
0,49,0,17.0
0,50,0,17.0
0,51,0,17.0
0,52,0,17.0
0,53,0,17.0
0,54,0,17.0
0,55,0,17.0
0,56,0,17.0
0,57,0,17.0
0,58,0,17.0
0,59,0,17.0
0,60,0,17.0
0,61,0,17.0
0,62,0,17.0
0,63,0,17.0
0,64,0,17.0
0,65,0,17.0
0,66,0,17.0
0,67,0,17.0
0,68,0,17.0
0,69,0,17.0
0,70,0,17.0
0,71,0,17.0
0,72,0,17.0
0,73,0,17.0
0,74,0,17.0
0,75,0,17.0
0,76,0,17.0
0,77,0,17.0
0,78,0,17.0
0,79,0,17.0
0,80,0,17.0
0,81,0,17.0
0,82,0,17.0
0,83,0,17.0
0,84,0,17.0
0,85,0,17.0
0,86,0,17.0
0,87,0,17.0
0,88,0,17.0
0,89,0,17.0
0,90,0,17.0
0,91,0,17.0
0,92,0,17.0
0,93,0,17.0
0,94,0,17.0
0,95,0,17.0
0,96,0,17.0
0,97,0,17.0
0,98,0,17.0
0,99,0,17.0
1,0,1,5.0
1,1,1,0.0
1,2,1,0.0
1,3,1,0.0
1,4,1,5.0
1,5,1,0.0
1,6,1,0.0
1,7,1,5.0
1,8,1,0.0
1,9,1,0.0
1,10,1,0.0
1,11,0,17.0
1,12,0,17.0
1,13,0,17.0
1,14,0,17.0
1,15,0,17.0
1,16,0,17.0
1,17,0,17.0
1,18,0,17.0
1,19,0,17.0
1,20,0,17.0
1,21,0,17.0
1,22,0,17.0
1,23,0,17.0
1,24,0,17.0
1,25,0,17.0
1,26,0,17.0
1,27,0,17.0
1,28,0,17.0
1,29,0,17.0
1,30,0,17.0
1,31,0,17.0
1,32,0,17.0
1,33,0,17.0
1,34,0,17.0
1,35,0,17.0
1,36,0,17.0
1,37,0,17.0
1,38,0,17.0
1,39,0,17.0
1,40,0,17.0
1,41,0,17.0
1,42,0,17.0
1,43,0,17.0
1,44,0,17.0
1,45,0,17.0
1,46,0,17.0
1,47,0,17.0
1,48,0,17.0
1,49,0,17.0
1,50,0,17.0
1,51,0,17.0
1,52,0,17.0
1,53,0,17.0
1,54,0,17.0
1,55,0,17.0
1,56,0,17.0
1,57,0,17.0
1,58,0,17.0
1,59,0,17.0
1,60,0,17.0
1,61,0,17.0
1,62,0,17.0
1,63,0,17.0
1,64,0,17.0
1,65,0,17.0
1,66,0,17.0
1,67,0,17.0
1,68,0,17.0
1,69,0,17.0
1,70,0,17.0
1,71,0,17.0
1,72,0,17.0
1,73,0,17.0
1,74,0,17.0
1,75,0,17.0
1,76,0,17.0
1,77,0,17.0
1,78,0,17.0
1,79,0,17.0
1,80,0,17.0
1,81,0,17.0
1,82,0,17.0
1,83,0,17.0
1,84,0,17.0
1,85,0,17.0
1,86,0,17.0
1,87,0,17.0
1,88,0,17.0
1,89,0,17.0
1,90,0,17.0
1,91,0,17.0
1,92,0,17.0
1,93,0,17.0
1,94,0,17.0
1,95,0,17.0
1,96,0,17.0
1,97,0,17.0
1,98,0,17.0
1,99,0,17.0
2,0,1,5.0
2,1,1,0.0
2,2,0,17.0
2,3,0,17.0
2,4,0,17.0
2,5,0,17.0
2,6,0,17.0
2,7,0,17.0
2,8,0,17.0
2,9,0,17.0
2,10,0,17.0
2,11,0,17.0
2,12,0,17.0
2,13,0,17.0
2,14,0,17.0
2,15,0,17.0
2,16,0,17.0
2,17,0,17.0
2,18,0,17.0
2,19,0,17.0
2,20,0,17.0
2,21,0,17.0
2,22,0,17.0
2,23,0,17.0
2,24,0,17.0
2,25,0,17.0
2,26,0,17.0
2,27,0,17.0
2,28,0,17.0
2,29,0,17.0
2,30,0,17.0
2,31,0,17.0
2,32,0,17.0
2,33,0,17.0
2,34,0,17.0
2,35,0,17.0
2,36,0,17.0
2,37,0,17.0
2,38,0,17.0
2,39,0,17.0
2,40,0,17.0
2,41,0,17.0
2,42,0,17.0
2,43,0,17.0
2,44,0,17.0
2,45,0,17.0
2,46,0,17.0
2,47,0,17.0
2,48,0,17.0
2,49,0,17.0
2,50,0,17.0
2,51,0,17.0
2,52,0,17.0
2,53,0,17.0
2,54,0,17.0
2,55,0,17.0
2,56,0,17.0
2,57,0,17.0
2,58,0,17.0
2,59,0,17.0
2,60,0,17.0
2,61,0,17.0
2,62,0,17.0
2,63,0,17.0
2,64,0,17.0
2,65,0,17.0
2,66,0,17.0
2,67,0,17.0
2,68,0,17.0
2,69,0,17.0
2,70,0,17.0
2,71,0,17.0
2,72,0,17.0
2,73,0,17.0
2,74,0,17.0
2,75,0,17.0
2,76,0,17.0
2,77,0,17.0
2,78,0,17.0
2,79,0,17.0
2,80,0,17.0
2,81,0,17.0
2,82,0,17.0
2,83,0,17.0
2,84,0,17.0
2,85,0,17.0
2,86,0,17.0
2,87,0,17.0
2,88,0,17.0
2,89,0,17.0
2,90,0,17.0
2,91,0,17.0
2,92,0,17.0
2,93,0,17.0
2,94,0,17.0
2,95,0,17.0
2,96,0,17.0
2,97,0,17.0
2,98,0,17.0
2,99,0,17.0
3,0,0,17.0
3,1,0,17.0
3,2,0,17.0
3,3,0,17.0
3,4,0,17.0
3,5,0,17.0
3,6,0,17.0
3,7,0,17.0
3,8,0,17.0
3,9,0,17.0
3,10,0,17.0
3,11,0,17.0
3,12,0,17.0
3,13,0,17.0
3,14,0,17.0
3,15,0,17.0
3,16,0,17.0
3,17,0,17.0
3,18,0,17.0
3,19,0,17.0
3,20,0,17.0
3,21,0,17.0
3,22,0,17.0
3,23,0,17.0
3,24,0,17.0
3,25,0,17.0
3,26,0,17.0
3,27,0,17.0
3,28,0,17.0
3,29,0,17.0
3,30,0,17.0
3,31,0,17.0
3,32,0,17.0
3,33,0,17.0
3,34,0,17.0
3,35,0,17.0
3,36,0,17.0
3,37,0,17.0
3,38,0,17.0
3,39,0,17.0
3,40,0,17.0
3,41,0,17.0
3,42,0,17.0
3,43,0,17.0
3,44,0,17.0
3,45,0,17.0
3,46,0,17.0
3,47,0,17.0
3,48,0,17.0
3,49,0,17.0
3,50,0,17.0
3,51,0,17.0
3,52,0,17.0
3,53,0,17.0
3,54,0,17.0
3,55,0,17.0
3,56,0,17.0
3,57,0,17.0
3,58,0,17.0
3,59,0,17.0
3,60,0,17.0
3,61,0,17.0
3,62,0,17.0
3,63,0,17.0
3,64,0,17.0
3,65,0,17.0
3,66,0,17.0
3,67,0,17.0
3,68,0,17.0
3,69,0,17.0
3,70,0,17.0
3,71,0,17.0
3,72,0,17.0
3,73,0,17.0
3,74,0,17.0
3,75,0,17.0
3,76,0,17.0
3,77,0,17.0
3,78,0,17.0
3,79,0,17.0
3,80,0,17.0
3,81,0,17.0
3,82,0,17.0
3,83,0,17.0
3,84,0,17.0
3,85,0,17.0
3,86,0,17.0
3,87,0,17.0
3,88,0,17.0
3,89,0,17.0
3,90,0,17.0
3,91,0,17.0
3,92,0,17.0
3,93,0,17.0
3,94,0,17.0
3,95,0,17.0
3,96,0,17.0
3,97,0,17.0
3,98,0,17.0
3,99,0,17.0
4,0,0,17.0
4,1,0,17.0
4,2,0,17.0
4,3,0,17.0
4,4,0,17.0
4,5,0,17.0
4,6,0,17.0
4,7,0,17.0
4,8,0,17.0
4,9,0,17.0
4,10,0,17.0
4,11,0,17.0
4,12,0,17.0
4,13,0,17.0
4,14,0,17.0
4,15,0,17.0
4,16,0,17.0
4,17,0,17.0
4,18,0,17.0
4,19,0,17.0
4,20,0,17.0
4,21,0,17.0
4,22,0,17.0
4,23,0,17.0
4,24,0,17.0
4,25,0,17.0
4,26,0,17.0
4,27,0,17.0
4,28,0,17.0
4,29,0,17.0
4,30,0,17.0
4,31,0,17.0
4,32,0,17.0
4,33,0,17.0
4,34,0,17.0
4,35,0,17.0
4,36,0,17.0
4,37,0,17.0
4,38,0,17.0
4,39,0,17.0
4,40,0,17.0
4,41,0,17.0
4,42,0,17.0
4,43,0,17.0
4,44,0,17.0
4,45,0,17.0
4,46,0,17.0
4,47,0,17.0
4,48,0,17.0
4,49,0,17.0
4,50,0,17.0
4,51,0,17.0
4,52,0,17.0
4,53,0,17.0
4,54,0,17.0
4,55,0,17.0
4,56,0,17.0
4,57,0,17.0
4,58,0,17.0
4,59,0,17.0
4,60,0,17.0
4,61,0,17.0
4,62,0,17.0
4,63,0,17.0
4,64,0,17.0
4,65,0,17.0
4,66,0,17.0
4,67,0,17.0
4,68,0,17.0
4,69,0,17.0
4,70,0,17.0
4,71,0,17.0
4,72,0,17.0
4,73,0,17.0
4,74,0,17.0
4,75,0,17.0
4,76,0,17.0
4,77,0,17.0
4,78,0,17.0
4,79,0,17.0
4,80,0,17.0
4,81,0,17.0
4,82,0,17.0
4,83,0,17.0
4,84,0,17.0
4,85,0,17.0
4,86,0,17.0
4,87,0,17.0
4,88,0,17.0
4,89,0,17.0
4,90,0,17.0
4,91,0,17.0
4,92,0,17.0
4,93,0,17.0
4,94,0,17.0
4,95,0,17.0
4,96,0,17.0
4,97,0,17.0
4,98,0,17.0
4,99,0,17.0
5,0,1,5.0
5,1,1,5.0
5,2,1,0.0
5,3,1,0.0
5,4,0,17.0
5,5,0,17.0
5,6,0,17.0
5,7,0,17.0
5,8,0,17.0
5,9,0,17.0
5,10,0,17.0
5,11,0,17.0
5,12,0,17.0
5,13,0,17.0
5,14,0,17.0
5,15,0,17.0
5,16,0,17.0
5,17,0,17.0
5,18,0,17.0
5,19,0,17.0
5,20,0,17.0
5,21,0,17.0
5,22,0,17.0
5,23,0,17.0
5,24,0,17.0
5,25,0,17.0
5,26,0,17.0
5,27,0,17.0
5,28,0,17.0
5,29,0,17.0
5,30,0,17.0
5,31,0,17.0
5,32,0,17.0
5,33,0,17.0
5,34,0,17.0
5,35,0,17.0
5,36,0,17.0
5,37,0,17.0
5,38,0,17.0
5,39,0,17.0
5,40,0,17.0
5,41,0,17.0
5,42,0,17.0
5,43,0,17.0
5,44,0,17.0
5,45,0,17.0
5,46,0,17.0
5,47,0,17.0
5,48,0,17.0
5,49,0,17.0
5,50,0,17.0
5,51,0,17.0
5,52,0,17.0
5,53,0,17.0
5,54,0,17.0
5,55,0,17.0
5,56,0,17.0
5,57,0,17.0
5,58,0,17.0
5,59,0,17.0
5,60,0,17.0
5,61,0,17.0
5,62,0,17.0
5,63,0,17.0
5,64,0,17.0
5,65,0,17.0
5,66,0,17.0
5,67,0,17.0
5,68,0,17.0
5,69,0,17.0
5,70,0,17.0
5,71,0,17.0
5,72,0,17.0
5,73,0,17.0
5,74,0,17.0
5,75,0,17.0
5,76,0,17.0
5,77,0,17.0
5,78,0,17.0
5,79,0,17.0
5,80,0,17.0
5,81,0,17.0
5,82,0,17.0
5,83,0,17.0
5,84,0,17.0
5,85,0,17.0
5,86,0,17.0
5,87,0,17.0
5,88,0,17.0
5,89,0,17.0
5,90,0,17.0
5,91,0,17.0
5,92,0,17.0
5,93,0,17.0
5,94,0,17.0
5,95,0,17.0
5,96,0,17.0
5,97,0,17.0
5,98,0,17.0
5,99,0,17.0
6,0,0,17.0
6,1,0,17.0
6,2,0,17.0
6,3,0,17.0
6,4,0,17.0
6,5,0,17.0
6,6,0,17.0
6,7,0,17.0
6,8,0,17.0
6,9,0,17.0
6,10,0,17.0
6,11,0,17.0
6,12,0,17.0
6,13,0,17.0
6,14,0,17.0
6,15,0,17.0
6,16,0,17.0
6,17,0,17.0
6,18,0,17.0
6,19,0,17.0
6,20,0,17.0
6,21,0,17.0
6,22,0,17.0
6,23,0,17.0
6,24,0,17.0
6,25,0,17.0
6,26,0,17.0
6,27,0,17.0
6,28,0,17.0
6,29,0,17.0
6,30,0,17.0
6,31,0,17.0
6,32,0,17.0
6,33,0,17.0
6,34,0,17.0
6,35,0,17.0
6,36,0,17.0
6,37,0,17.0
6,38,0,17.0
6,39,0,17.0
6,40,0,17.0
6,41,0,17.0
6,42,0,17.0
6,43,0,17.0
6,44,0,17.0
6,45,0,17.0
6,46,0,17.0
6,47,0,17.0
6,48,0,17.0
6,49,0,17.0
6,50,0,17.0
6,51,0,17.0
6,52,0,17.0
6,53,0,17.0
6,54,0,17.0
6,55,0,17.0
6,56,0,17.0
6,57,0,17.0
6,58,0,17.0
6,59,0,17.0
6,60,0,17.0
6,61,0,17.0
6,62,0,17.0
6,63,0,17.0
6,64,0,17.0
6,65,0,17.0
6,66,0,17.0
6,67,0,17.0
6,68,0,17.0
6,69,0,17.0
6,70,0,17.0
6,71,0,17.0
6,72,0,17.0
6,73,0,17.0
6,74,0,17.0
6,75,0,17.0
6,76,0,17.0
6,77,0,17.0
6,78,0,17.0
6,79,0,17.0
6,80,0,17.0
6,81,0,17.0
6,82,0,17.0
6,83,0,17.0
6,84,0,17.0
6,85,0,17.0
6,86,0,17.0
6,87,0,17.0
6,88,0,17.0
6,89,0,17.0
6,90,0,17.0
6,91,0,17.0
6,92,0,17.0
6,93,0,17.0
6,94,0,17.0
6,95,0,17.0
6,96,0,17.0
6,97,0,17.0
6,98,0,17.0
6,99,0,17.0
7,0,0,17.0
7,1,0,17.0
7,2,0,17.0
7,3,0,17.0
7,4,0,17.0
7,5,0,17.0
7,6,0,17.0
7,7,0,17.0
7,8,0,17.0
7,9,0,17.0
7,10,0,17.0
7,11,0,17.0
7,12,0,17.0
7,13,0,17.0
7,14,0,17.0
7,15,0,17.0
7,16,0,17.0
7,17,0,17.0
7,18,0,17.0
7,19,0,17.0
7,20,0,17.0
7,21,0,17.0
7,22,0,17.0
7,23,0,17.0
7,24,0,17.0
7,25,0,17.0
7,26,0,17.0
7,27,0,17.0
7,28,0,17.0
7,29,0,17.0
7,30,0,17.0
7,31,0,17.0
7,32,0,17.0
7,33,0,17.0
7,34,0,17.0
7,35,0,17.0
7,36,0,17.0
7,37,0,17.0
7,38,0,17.0
7,39,0,17.0
7,40,0,17.0
7,41,0,17.0
7,42,0,17.0
7,43,0,17.0
7,44,0,17.0
7,45,0,17.0
7,46,0,17.0
7,47,0,17.0
7,48,0,17.0
7,49,0,17.0
7,50,0,17.0
7,51,0,17.0
7,52,0,17.0
7,53,0,17.0
7,54,0,17.0
7,55,0,17.0
7,56,0,17.0
7,57,0,17.0
7,58,0,17.0
7,59,0,17.0
7,60,0,17.0
7,61,0,17.0
7,62,0,17.0
7,63,0,17.0
7,64,0,17.0
7,65,0,17.0
7,66,0,17.0
7,67,0,17.0
7,68,0,17.0
7,69,0,17.0
7,70,0,17.0
7,71,0,17.0
7,72,0,17.0
7,73,0,17.0
7,74,0,17.0
7,75,0,17.0
7,76,0,17.0
7,77,0,17.0
7,78,0,17.0
7,79,0,17.0
7,80,0,17.0
7,81,0,17.0
7,82,0,17.0
7,83,0,17.0
7,84,0,17.0
7,85,0,17.0
7,86,0,17.0
7,87,0,17.0
7,88,0,17.0
7,89,0,17.0
7,90,0,17.0
7,91,0,17.0
7,92,0,17.0
7,93,0,17.0
7,94,0,17.0
7,95,0,17.0
7,96,0,17.0
7,97,0,17.0
7,98,0,17.0
7,99,0,17.0
8,0,0,17.0
8,1,0,17.0
8,2,0,17.0
8,3,0,17.0
8,4,0,17.0
8,5,0,17.0
8,6,0,17.0
8,7,0,17.0
8,8,0,17.0
8,9,0,17.0
8,10,0,17.0
8,11,0,17.0
8,12,0,17.0
8,13,0,17.0
8,14,0,17.0
8,15,0,17.0
8,16,0,17.0
8,17,0,17.0
8,18,0,17.0
8,19,0,17.0
8,20,0,17.0
8,21,0,17.0
8,22,0,17.0
8,23,0,17.0
8,24,0,17.0
8,25,0,17.0
8,26,0,17.0
8,27,0,17.0
8,28,0,17.0
8,29,0,17.0
8,30,0,17.0
8,31,0,17.0
8,32,0,17.0
8,33,0,17.0
8,34,0,17.0
8,35,0,17.0
8,36,0,17.0
8,37,0,17.0
8,38,0,17.0
8,39,0,17.0
8,40,0,17.0
8,41,0,17.0
8,42,0,17.0
8,43,0,17.0
8,44,0,17.0
8,45,0,17.0
8,46,0,17.0
8,47,0,17.0
8,48,0,17.0
8,49,0,17.0
8,50,0,17.0
8,51,0,17.0
8,52,0,17.0
8,53,0,17.0
8,54,0,17.0
8,55,0,17.0
8,56,0,17.0
8,57,0,17.0
8,58,0,17.0
8,59,0,17.0
8,60,0,17.0
8,61,0,17.0
8,62,0,17.0
8,63,0,17.0
8,64,0,17.0
8,65,0,17.0
8,66,0,17.0
8,67,0,17.0
8,68,0,17.0
8,69,0,17.0
8,70,0,17.0
8,71,0,17.0
8,72,0,17.0
8,73,0,17.0
8,74,0,17.0
8,75,0,17.0
8,76,0,17.0
8,77,0,17.0
8,78,0,17.0
8,79,0,17.0
8,80,0,17.0
8,81,0,17.0
8,82,0,17.0
8,83,0,17.0
8,84,0,17.0
8,85,0,17.0
8,86,0,17.0
8,87,0,17.0
8,88,0,17.0
8,89,0,17.0
8,90,0,17.0
8,91,0,17.0
8,92,0,17.0
8,93,0,17.0
8,94,0,17.0
8,95,0,17.0
8,96,0,17.0
8,97,0,17.0
8,98,0,17.0
8,99,0,17.0
9,0,0,17.0
9,1,0,17.0
9,2,0,17.0
9,3,0,17.0
9,4,0,17.0
9,5,0,17.0
9,6,0,17.0
9,7,0,17.0
9,8,0,17.0
9,9,0,17.0
9,10,0,17.0
9,11,0,17.0
9,12,0,17.0
9,13,0,17.0
9,14,0,17.0
9,15,0,17.0
9,16,0,17.0
9,17,0,17.0
9,18,0,17.0
9,19,0,17.0
9,20,0,17.0
9,21,0,17.0
9,22,0,17.0
9,23,0,17.0
9,24,0,17.0
9,25,0,17.0
9,26,0,17.0
9,27,0,17.0
9,28,0,17.0
9,29,0,17.0
9,30,0,17.0
9,31,0,17.0
9,32,0,17.0
9,33,0,17.0
9,34,0,17.0
9,35,0,17.0
9,36,0,17.0
9,37,0,17.0
9,38,0,17.0
9,39,0,17.0
9,40,0,17.0
9,41,0,17.0
9,42,0,17.0
9,43,0,17.0
9,44,0,17.0
9,45,0,17.0
9,46,0,17.0
9,47,0,17.0
9,48,0,17.0
9,49,0,17.0
9,50,0,17.0
9,51,0,17.0
9,52,0,17.0
9,53,0,17.0
9,54,0,17.0
9,55,0,17.0
9,56,0,17.0
9,57,0,17.0
9,58,0,17.0
9,59,0,17.0
9,60,0,17.0
9,61,0,17.0
9,62,0,17.0
9,63,0,17.0
9,64,0,17.0
9,65,0,17.0
9,66,0,17.0
9,67,0,17.0
9,68,0,17.0
9,69,0,17.0
9,70,0,17.0
9,71,0,17.0
9,72,0,17.0
9,73,0,17.0
9,74,0,17.0
9,75,0,17.0
9,76,0,17.0
9,77,0,17.0
9,78,0,17.0
9,79,0,17.0
9,80,0,17.0
9,81,0,17.0
9,82,0,17.0
9,83,0,17.0
9,84,0,17.0
9,85,0,17.0
9,86,0,17.0
9,87,0,17.0
9,88,0,17.0
9,89,0,17.0
9,90,0,17.0
9,91,0,17.0
9,92,0,17.0
9,93,0,17.0
9,94,0,17.0
9,95,0,17.0
9,96,0,17.0
9,97,0,17.0
9,98,0,17.0
9,99,0,17.0
10,0,0,17.0
10,1,0,17.0
10,2,0,17.0
10,3,0,17.0
10,4,0,17.0
10,5,0,17.0
10,6,0,17.0
10,7,0,17.0
10,8,0,17.0
10,9,0,17.0
10,10,0,17.0
10,11,0,17.0
10,12,0,17.0
10,13,0,17.0
10,14,0,17.0
10,15,0,17.0
10,16,0,17.0
10,17,0,17.0
10,18,0,17.0
10,19,0,17.0
10,20,0,17.0
10,21,0,17.0
10,22,0,17.0
10,23,0,17.0
10,24,0,17.0
10,25,0,17.0
10,26,0,17.0
10,27,0,17.0
10,28,0,17.0
10,29,0,17.0
10,30,0,17.0
10,31,0,17.0
10,32,0,17.0
10,33,0,17.0
10,34,0,17.0
10,35,0,17.0
10,36,0,17.0
10,37,0,17.0
10,38,0,17.0
10,39,0,17.0
10,40,0,17.0
10,41,0,17.0
10,42,0,17.0
10,43,0,17.0
10,44,0,17.0
10,45,0,17.0
10,46,0,17.0
10,47,0,17.0
10,48,0,17.0
10,49,0,17.0
10,50,0,17.0
10,51,0,17.0
10,52,0,17.0
10,53,0,17.0
10,54,0,17.0
10,55,0,17.0
10,56,0,17.0
10,57,0,17.0
10,58,0,17.0
10,59,0,17.0
10,60,0,17.0
10,61,0,17.0
10,62,0,17.0
10,63,0,17.0
10,64,0,17.0
10,65,0,17.0
10,66,0,17.0
10,67,0,17.0
10,68,0,17.0
10,69,0,17.0
10,70,0,17.0
10,71,0,17.0
10,72,0,17.0
10,73,0,17.0
10,74,0,17.0
10,75,0,17.0
10,76,0,17.0
10,77,0,17.0
10,78,0,17.0
10,79,0,17.0
10,80,0,17.0
10,81,0,17.0
10,82,0,17.0
10,83,0,17.0
10,84,0,17.0
10,85,0,17.0
10,86,0,17.0
10,87,0,17.0
10,88,0,17.0
10,89,0,17.0
10,90,0,17.0
10,91,0,17.0
10,92,0,17.0
10,93,0,17.0
10,94,0,17.0
10,95,0,17.0
10,96,0,17.0
10,97,0,17.0
10,98,0,17.0
10,99,0,17.0
11,0,1,0.0
11,1,0,17.0
11,2,0,17.0
11,3,0,17.0
11,4,0,17.0
11,5,0,17.0
11,6,0,17.0
11,7,0,17.0
11,8,0,17.0
11,9,0,17.0
11,10,0,17.0
11,11,0,17.0
11,12,0,17.0
11,13,0,17.0
11,14,0,17.0
11,15,0,17.0
11,16,0,17.0
11,17,0,17.0
11,18,0,17.0
11,19,0,17.0
11,20,0,17.0
11,21,0,17.0
11,22,0,17.0
11,23,0,17.0
11,24,0,17.0
11,25,0,17.0
11,26,0,17.0
11,27,0,17.0
11,28,0,17.0
11,29,0,17.0
11,30,0,17.0
11,31,0,17.0
11,32,0,17.0
11,33,0,17.0
11,34,0,17.0
11,35,0,17.0
11,36,0,17.0
11,37,0,17.0
11,38,0,17.0
11,39,0,17.0
11,40,0,17.0
11,41,0,17.0
11,42,0,17.0
11,43,0,17.0
11,44,0,17.0
11,45,0,17.0
11,46,0,17.0
11,47,0,17.0
11,48,0,17.0
11,49,0,17.0
11,50,0,17.0
11,51,0,17.0
11,52,0,17.0
11,53,0,17.0
11,54,0,17.0
11,55,0,17.0
11,56,0,17.0
11,57,0,17.0
11,58,0,17.0
11,59,0,17.0
11,60,0,17.0
11,61,0,17.0
11,62,0,17.0
11,63,0,17.0
11,64,0,17.0
11,65,0,17.0
11,66,0,17.0
11,67,0,17.0
11,68,0,17.0
11,69,0,17.0
11,70,0,17.0
11,71,0,17.0
11,72,0,17.0
11,73,0,17.0
11,74,0,17.0
11,75,0,17.0
11,76,0,17.0
11,77,0,17.0
11,78,0,17.0
11,79,0,17.0
11,80,0,17.0
11,81,0,17.0
11,82,0,17.0
11,83,0,17.0
11,84,0,17.0
11,85,0,17.0
11,86,0,17.0
11,87,0,17.0
11,88,0,17.0
11,89,0,17.0
11,90,0,17.0
11,91,0,17.0
11,92,0,17.0
11,93,0,17.0
11,94,0,17.0
11,95,0,17.0
11,96,0,17.0
11,97,0,17.0
11,98,0,17.0
11,99,0,17.0
12,0,1,0.0
12,1,1,5.0
12,2,1,5.0
12,3,1,0.0
12,4,1,5.0
12,5,1,0.0
12,6,0,17.0
12,7,0,17.0
12,8,0,17.0
12,9,0,17.0
12,10,0,17.0
12,11,0,17.0
12,12,0,17.0
12,13,0,17.0
12,14,0,17.0
12,15,0,17.0
12,16,0,17.0
12,17,0,17.0
12,18,0,17.0
12,19,0,17.0
12,20,0,17.0
12,21,0,17.0
12,22,0,17.0
12,23,0,17.0
12,24,0,17.0
12,25,0,17.0
12,26,0,17.0
12,27,0,17.0
12,28,0,17.0
12,29,0,17.0
12,30,0,17.0
12,31,0,17.0
12,32,0,17.0
12,33,0,17.0
12,34,0,17.0
12,35,0,17.0
12,36,0,17.0
12,37,0,17.0
12,38,0,17.0
12,39,0,17.0
12,40,0,17.0
12,41,0,17.0
12,42,0,17.0
12,43,0,17.0
12,44,0,17.0
12,45,0,17.0
12,46,0,17.0
12,47,0,17.0
12,48,0,17.0
12,49,0,17.0
12,50,0,17.0
12,51,0,17.0
12,52,0,17.0
12,53,0,17.0
12,54,0,17.0
12,55,0,17.0
12,56,0,17.0
12,57,0,17.0
12,58,0,17.0
12,59,0,17.0
12,60,0,17.0
12,61,0,17.0
12,62,0,17.0
12,63,0,17.0
12,64,0,17.0
12,65,0,17.0
12,66,0,17.0
12,67,0,17.0
12,68,0,17.0
12,69,0,17.0
12,70,0,17.0
12,71,0,17.0
12,72,0,17.0
12,73,0,17.0
12,74,0,17.0
12,75,0,17.0
12,76,0,17.0
12,77,0,17.0
12,78,0,17.0
12,79,0,17.0
12,80,0,17.0
12,81,0,17.0
12,82,0,17.0
12,83,0,17.0
12,84,0,17.0
12,85,0,17.0
12,86,0,17.0
12,87,0,17.0
12,88,0,17.0
12,89,0,17.0
12,90,0,17.0
12,91,0,17.0
12,92,0,17.0
12,93,0,17.0
12,94,0,17.0
12,95,0,17.0
12,96,0,17.0
12,97,0,17.0
12,98,0,17.0
12,99,0,17.0
13,0,1,0.0
13,1,1,0.0
13,2,0,17.0
13,3,0,17.0
13,4,0,17.0
13,5,0,17.0
13,6,0,17.0
